,,,,,,,,,,,,,
,EDC 2026 Artists by Day & Stage,,,,,,,,,,,,
,Kinetic Field,Circuit Grounds,Cosmic Meadow,Neon Garden,Basspod,Wasteland,Quantum Valley,Stereo Bloom,Bionic Jungle,,Quick Counts,Sets,Longest Stage Day
FRIDAY,"Laidback Luke B2B Chuckie
7:00-8:00 PM","1991
7:00-8:00 PM","Max Dean B2B Luke Dean
5:00-7:00 PM","Anastazja
7:00-8:30 PM","RIOT
7:00-7:50 PM","DØMINA
7:00-8:30 PM","Sarah de Warren
7:00-8:00 PM","Abana B2B Juliet Mendoza
7:00-8:00 PM","Heidi Lawden B2B Masha Mar
5:00-7:00 PM",,Friday,84,Basspod
,"Korolova
8:00-9:00 PM","Bou
8:00-9:00 PM","Jackie Hollander
7:00-7:55 PM","MËSTIZA
8:30-10:00 PM","HEYZ
7:50-8:40 PM","Serafina
8:30-9:30 PM","Matty Ralph
8:00-9:00 PM","SLAMM
8:00-9:00 PM","Stacy Christine
7:00-8:00 PM",,Saturday,81,Basspod
,"Argy
9:00-10:07 PM","Nico Moreno
9:00-10:00 PM","Roddy Lima
7:55-8:55 PM","DJ Tennis B2B Chloé Caillet
10:00-11:30 PM","MUZZ
8:40-9:30 PM","Johannes Schuster
9:30-10:30 PM","Cold Blue
9:00-10:00 PM","Luuk van Dijk
9:00-10:15 PM","The Carry Nation
8:00-9:30 PM",,Sunday,80,Basspod
,"Chris Lorenzo
10:07-11:19 PM","I Hate Models
10:00-11:15 PM","Westend
8:55-9:55 PM","Peggy Gou
11:30 PM-1:00 AM","GorillaT
9:30-10:30 PM","Adrián Mills
10:30-11:30 PM","Pegassi
10:00-11:00 PM","Omar+
10:15-11:30 PM","Massimiliano Pagliara
9:30-11:00 PM",,,,
,"Sofi Tukker
11:19 PM-12:32 AM","Levity
11:15 PM-12:25 AM","Walker & Royce B2B VNSSA
9:55-11:10 PM","Adriatique
1:00-2:30 AM","Ghengar
10:30-11:30 PM","Cloudy
11:30 PM-12:30 AM","Darude
11:00 PM-12:00 AM","Luke Dean
11:30 PM-12:45 AM","PARAMIDA
11:00 PM-12:30 AM",,,,
,"The Chainsmokers
12:32-1:47 AM","Wooli
12:25-1:35 AM","Underworld
11:10 PM-12:25 AM","Joseph Capriati
2:30-4:00 AM","Deathpact ∞ Deathpact
11:30 PM-12:30 AM","KUKO
12:30-1:30 AM","Cosmic Gate
12:00-1:00 AM","Josh Baker
12:45-2:00 AM","salute B2B Chloé Caillet
12:30-2:30 AM",,,,
,"Fisher
1:47-3:01 AM","The Outlaw
1:35-2:35 AM","MEDUZA³
12:25-1:47 AM","Eli Brown
4:00-5:30 AM","ATLiens
12:30-1:30 AM","GRAVEDGR
1:30-2:30 AM","Gareth Emery
1:00-2:00 AM","Max Dean
2:00-3:15 AM","Robert Hood
2:30-4:00 AM",,,,
,"Porter Robinson (DJ Set)
3:01-4:14 AM","Holy Priest
2:35-3:30 AM","Notion
1:47-2:47 AM",,"Kai Wachi
1:30-2:30 AM","Rebekah
2:30-3:30 AM","Ilan Bluestone
2:00-3:00 AM","Obskür
3:15-4:30 AM","Avalon Emerson
4:00-5:30 AM",,,,
,"Charlotte de Witte
4:14-5:30 AM","Ray Volpe
3:30-4:30 AM","MPH
2:47-4:02 AM",,"Adventure Club (Throwback Set)
2:30-3:30 AM","DYEN
3:30-4:30 AM","Paul van Dyk
3:00-4:00 AM","Toman
4:30-5:30 AM",,,,,
,,"Level Up
4:30-5:30 AM","San Pacho
4:02-5:30 AM",,"Culture Shock
3:30-4:30 AM","Stan Christ
4:30-5:30 AM","Darren Porter
4:00-5:30 AM",,,,,,
,,,,,"Cyclops
4:30-5:30 AM",,,,,,,,
