Day,Stage,Artist,Start,End,Set Time
Friday,Kinetic Field,Laidback Luke B2B Chuckie,7:00 PM,8:00 PM,7:00-8:00 PM
Friday,Kinetic Field,Korolova,8:00 PM,9:00 PM,8:00-9:00 PM
Friday,Kinetic Field,Argy,9:00 PM,10:07 PM,9:00-10:07 PM
Friday,Kinetic Field,Chris Lorenzo,10:07 PM,11:19 PM,10:07-11:19 PM
Friday,Kinetic Field,Sofi Tukker,11:19 PM,12:32 AM,11:19 PM-12:32 AM
Friday,Kinetic Field,The Chainsmokers,12:32 AM,1:47 AM,12:32-1:47 AM
Friday,Kinetic Field,Fisher,1:47 AM,3:01 AM,1:47-3:01 AM
Friday,Kinetic Field,Porter Robinson (DJ Set),3:01 AM,4:14 AM,3:01-4:14 AM
Friday,Kinetic Field,Charlotte de Witte,4:14 AM,5:30 AM,4:14-5:30 AM
Friday,Circuit Grounds,1991,7:00 PM,8:00 PM,7:00-8:00 PM
Friday,Circuit Grounds,Bou,8:00 PM,9:00 PM,8:00-9:00 PM
Friday,Circuit Grounds,Nico Moreno,9:00 PM,10:00 PM,9:00-10:00 PM
Friday,Circuit Grounds,I Hate Models,10:00 PM,11:15 PM,10:00-11:15 PM
Friday,Circuit Grounds,Levity,11:15 PM,12:25 AM,11:15 PM-12:25 AM
Friday,Circuit Grounds,Wooli,12:25 AM,1:35 AM,12:25-1:35 AM
Friday,Circuit Grounds,The Outlaw,1:35 AM,2:35 AM,1:35-2:35 AM
Friday,Circuit Grounds,Holy Priest,2:35 AM,3:30 AM,2:35-3:30 AM
Friday,Circuit Grounds,Ray Volpe,3:30 AM,4:30 AM,3:30-4:30 AM
Friday,Circuit Grounds,Level Up,4:30 AM,5:30 AM,4:30-5:30 AM
Friday,Cosmic Meadow,Max Dean B2B Luke Dean,5:00 PM,7:00 PM,5:00-7:00 PM
Friday,Cosmic Meadow,Jackie Hollander,7:00 PM,7:55 PM,7:00-7:55 PM
Friday,Cosmic Meadow,Roddy Lima,7:55 PM,8:55 PM,7:55-8:55 PM
Friday,Cosmic Meadow,Westend,8:55 PM,9:55 PM,8:55-9:55 PM
Friday,Cosmic Meadow,Walker & Royce B2B VNSSA,9:55 PM,11:10 PM,9:55-11:10 PM
Friday,Cosmic Meadow,Underworld,11:10 PM,12:25 AM,11:10 PM-12:25 AM
Friday,Cosmic Meadow,MEDUZA³,12:25 AM,1:47 AM,12:25-1:47 AM
Friday,Cosmic Meadow,Notion,1:47 AM,2:47 AM,1:47-2:47 AM
Friday,Cosmic Meadow,MPH,2:47 AM,4:02 AM,2:47-4:02 AM
Friday,Cosmic Meadow,San Pacho,4:02 AM,5:30 AM,4:02-5:30 AM
Friday,Neon Garden,Anastazja,7:00 PM,8:30 PM,7:00-8:30 PM
Friday,Neon Garden,MËSTIZA,8:30 PM,10:00 PM,8:30-10:00 PM
Friday,Neon Garden,DJ Tennis B2B Chloé Caillet,10:00 PM,11:30 PM,10:00-11:30 PM
Friday,Neon Garden,Peggy Gou,11:30 PM,1:00 AM,11:30 PM-1:00 AM
Friday,Neon Garden,Adriatique,1:00 AM,2:30 AM,1:00-2:30 AM
Friday,Neon Garden,Joseph Capriati,2:30 AM,4:00 AM,2:30-4:00 AM
Friday,Neon Garden,Eli Brown,4:00 AM,5:30 AM,4:00-5:30 AM
Friday,Basspod,RIOT,7:00 PM,7:50 PM,7:00-7:50 PM
Friday,Basspod,HEYZ,7:50 PM,8:40 PM,7:50-8:40 PM
Friday,Basspod,MUZZ,8:40 PM,9:30 PM,8:40-9:30 PM
Friday,Basspod,GorillaT,9:30 PM,10:30 PM,9:30-10:30 PM
Friday,Basspod,Ghengar,10:30 PM,11:30 PM,10:30-11:30 PM
